1 deny(1) mach-lookup com.apple.SystemConfiguration.DNSConfiguration
38 deny(1) file-read-metadata /Users/paolof/.pi/agent/auth.json
14 deny(1) file-read-data /Users/paolof/.pi/agent/auth.json
40 deny(1) file-read-data /Users/paolof/Developer
4 deny(1) file-read-metadata /Users/paolof/.local/state/cmux/last-socket-path
1 deny(1) file-read-metadata /Users/paolof/.local/state/cmux/cmux.sock
1 deny(1) file-read-metadata /Users/paolof/.bash_profile
1 deny(1) file-read-metadata /Users/paolof/.local/lib/mail-tool-0.3.0/src/adapters/pi/index.ts
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/.pi/skills/opin-adr/references/adr-contract.md
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/.pi/skills/opin-apply/SKILL.md
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/.pi/skills/opin-bro/SKILL.md
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/.pi/skills/opin-design/SKILL.md
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/.pi/skills/opin-design/references/design-contract.md
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/.pi/skills/opin-prime/SKILL.md
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/README.md
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/docs/2026-09-08-adversarial-review.md
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/docs/2026-09-08-project-assessment.md
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/docs/NORTH-STAR.md
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/docs/README.md
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/docs/ROADMAP.md
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/docs/adr/ADR-0001-fresh-repository.md
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/openintent/changes/workflow-engine/reviews/wave-3-review-scope.md
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/openintent/changes/workflow-engine/reviews/wave-4-review-scope.md
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/openintent/changes/workflow-engine/reviews/wave-5-review-scope.md
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/openintent/changes/workflow-engine/reviews/wave-6-review-scope.md
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/openintent/changes/workflow-engine/specs/workflow-execution/spec.md
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/node_modules/.pnpm/@types+node@24.13.3/node_modules/@types/node/sqlite.d.ts
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/packages/workflow/src/definitions/worker-image.ts
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/packages/workflow/src/evidence/identity.ts
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/packages/workflow/src/evidence/result-boundary.ts
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/packages/workflow/src/evidence/retention.ts
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/packages/workflow/src/evidence/store.ts
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/packages/workflow/src/evidence/types.ts
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/packages/workflow/src/storage/sqlite/schema.ts
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/packages/workflow/src/storage/sqlite/store.ts
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/packages/workflow/src/usage/admission.ts
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/packages/workflow/src/usage/budget.ts
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/packages/workflow/src/usage/collect.ts
1 deny(1) file-read-metadata /Users/paolof/.openintent/workspaces/pfurini/OpenIntent/worktrees/workflow-engine/packages/workflow/src/usage/records.ts
